model,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,f1,roc_auc,horizon_days,threshold_bps,feature_set
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.3531746031746032,0.3179916317991632,0.6011884550084889,15,0.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.6428571428571429,0.7593582887700535,0.5561120543293718,15,0.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,247,0.38461538461538464,0.2692307692307692,0.4878691983122363,15,5.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,247,0.5587044534412956,0.6706948640483383,0.48402652200120555,15,5.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,999,251,0.3147410358565737,0.24561403508771928,0.6360655737704918,15,5.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,999,251,0.6374501992031872,0.7611548556430446,0.49654874892148404,15,5.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,247,0.38866396761133604,0.33480176211453744,0.5005274261603375,15,5.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,752,247,0.5951417004048583,0.7058823529411765,0.503616636528029,15,5.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,999,251,0.3665338645418327,0.34024896265560167,0.6031061259706644,15,5.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,999,251,0.649402390438247,0.7595628415300546,0.5642795513373597,15,5.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,748,243,0.3868312757201646,0.2660098522167488,0.48997668997668997,15,10.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,748,243,0.5390946502057613,0.6606060606060606,0.5026418026418027,15,10.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,991,249,0.321285140562249,0.2555066079295154,0.6455026455026456,15,10.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,991,249,0.6104417670682731,0.7413333333333333,0.4855379188712522,15,10.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,748,243,0.39094650205761317,0.32727272727272727,0.5024864024864025,15,10.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,748,243,0.588477366255144,0.7023809523809523,0.5222999222999223,15,10.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,991,249,0.37349397590361444,0.35,0.6127865961199295,15,10.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,991,249,0.678714859437751,0.7814207650273224,0.5936507936507937,15,10.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,742,241,0.3941908713692946,0.27,0.48125996810207333,15,15.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,742,241,0.5850622406639004,0.696969696969697,0.49649122807017537,15,15.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,983,248,0.3185483870967742,0.24888888888888888,0.652836879432624,15,15.0,market_only
